


** [ELECTRON] Launch Training on 20230603_1900
{
  "HOST": "etri",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 300,
  "resumeWeight": "./model_weights/20230428_1504_NEW_DLV3PP_FINAL_EPOCH_300_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 5,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 30,
  "lr_scheduling": true,
  "lr": 0.001,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* Experiment Comments Title\n  - Sub Comments Line1 \n  - Sub Comments Line2\n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3.yaml"
}
@20230603_1909 [EP 1/500] took: 0h:8m:43s, ETA: 3d:0h:29m:37s [TRAIN] loss: 0.3407, accu-50: 11.65%, iou: 52.96% 852.50ms [EVAL] [1/138 step] loss: 0.9148, accu-50: 36.17%, iou: 4.26%, 235.67m
@20230604_0821 [EP 98/500] took: 0h:8m:9s, ETA: 2d:6h:36m:18s [TRAIN] loss: 0.0349, accu-50: 96.64%, iou: 93.26% 808.97ms [EVAL] [1/138 step] loss: 0.0628, accu-50: 91.65%, iou: 87.48%, 224.82m
@20230604_0829 [EP 99/500] took: 0h:8m:9s, ETA: 2d:6h:28m:9s [TRAIN] loss: 0.0350, accu-50: 96.56%, iou: 93.25% 809.01ms [EVAL] [1/138 step] loss: 0.0678, accu-50: 95.29%, iou: 86.61%, 225.08m
@20230604_0837 [EP 100/500] took: 0h:8m:9s, ETA: 2d:6h:20m:0s [TRAIN] loss: 0.0344, accu-50: 96.64%, iou: 93.36% 808.54ms [EVAL] [1/138 step] loss: 0.0530, accu-50: 94.86%, iou: 89.24%, 224.78m
@20230604_0846 [EP 101/500] took: 0h:8m:9s, ETA: 2d:6h:11m:51s [TRAIN] loss: 0.0346, accu-50: 96.60%, iou: 93.33% 808.78ms [EVAL] [1/138 step] loss: 0.0673, accu-50: 95.18%, iou: 86.70%, 224.96m
@20230604_0854 [EP 102/500] took: 0h:8m:9s, ETA: 2d:6h:3m:42s [TRAIN] loss: 0.0343, accu-50: 96.64%, iou: 93.38% 808.98ms [EVAL] [1/138 step] loss: 0.0794, accu-50: 90.88%, iou: 84.60%, 225.20m
@20230604_0902 [EP 103/500] took: 0h:8m:9s, ETA: 2d:5h:55m:33s [TRAIN] loss: 0.0341, accu-50: 96.63%, iou: 93.42% 809.00ms [EVAL] [1/138 step] loss: 0.1518, accu-50: 82.20%, iou: 73.10%, 224.92m
@20230604_0910 [EP 104/500] took: 0h:8m:9s, ETA: 2d:5h:47m:24s [TRAIN] loss: 0.0341, accu-50: 96.66%, iou: 93.41% 808.71ms [EVAL] [1/138 step] loss: 0.0626, accu-50: 93.18%, iou: 87.55%, 224.89m
@20230604_0918 [EP 105/500] took: 0h:8m:9s, ETA: 2d:5h:39m:15s [TRAIN] loss: 0.0340, accu-50: 96.67%, iou: 93.43% 809.09ms [EVAL] [1/138 step] loss: 0.1120, accu-50: 86.14%, iou: 79.25%, 224.74m
@20230604_0926 [EP 106/500] took: 0h:8m:9s, ETA: 2d:5h:31m:6s [TRAIN] loss: 0.0337, accu-50: 96.70%, iou: 93.48% 808.92ms [EVAL] [1/138 step] loss: 0.1443, accu-50: 80.49%, iou: 74.22%, 225.06m
@20230604_0934 [EP 107/500] took: 0h:8m:9s, ETA: 2d:5h:22m:57s [TRAIN] loss: 0.0340, accu-50: 96.70%, iou: 93.43% 808.91ms [EVAL] [1/138 step] loss: 0.0608, accu-50: 92.43%, iou: 87.83%, 225.10m
@20230604_0943 [EP 108/500] took: 0h:8m:9s, ETA: 2d:5h:14m:48s [TRAIN] loss: 0.0335, accu-50: 96.67%, iou: 93.52% 808.74ms [EVAL] [1/138 step] loss: 0.0791, accu-50: 92.84%, iou: 84.67%, 225.17m
@20230604_0951 [EP 109/500] took: 0h:8m:9s, ETA: 2d:5h:6m:39s [TRAIN] loss: 0.0336, accu-50: 96.70%, iou: 93.51% 809.28ms [EVAL] [1/138 step] loss: 0.0537, accu-50: 93.95%, iou: 89.10%, 225.00m
@20230604_0959 [EP 110/500] took: 0h:8m:9s, ETA: 2d:4h:58m:30s [TRAIN] loss: 0.0335, accu-50: 96.70%, iou: 93.52% 809.01ms [EVAL] [1/138 step] loss: 0.1004, accu-50: 84.51%, iou: 81.09%, 224.46m
@20230604_1007 [EP 111/500] took: 0h:8m:9s, ETA: 2d:4h:50m:21s [TRAIN] loss: 0.0335, accu-50: 96.71%, iou: 93.53% 808.86ms [EVAL] [1/138 step] loss: 0.1088, accu-50: 83.55%, iou: 79.72%, 225.11m
@20230604_1015 [EP 112/500] took: 0h:8m:9s, ETA: 2d:4h:42m:12s [TRAIN] loss: 0.0335, accu-50: 96.65%, iou: 93.52% 809.06ms [EVAL] [1/138 step] loss: 0.0508, accu-50: 95.34%, iou: 89.63%, 224.94m
@20230604_1023 [EP 113/500] took: 0h:8m:9s, ETA: 2d:4h:34m:3s [TRAIN] loss: 0.0334, accu-50: 96.76%, iou: 93.55% 809.09ms [EVAL] [1/138 step] loss: 0.1082, accu-50: 88.04%, iou: 79.83%, 224.64m
@20230604_1032 [EP 114/500] took: 0h:8m:9s, ETA: 2d:4h:25m:54s [TRAIN] loss: 0.0329, accu-50: 96.78%, iou: 93.64% 809.27ms [EVAL] [1/138 step] loss: 0.0612, accu-50: 93.72%, iou: 87.76%, 224.87m
@20230604_1040 [EP 115/500] took: 0h:8m:9s, ETA: 2d:4h:17m:45s [TRAIN] loss: 0.0328, accu-50: 96.76%, iou: 93.65% 809.06ms [EVAL] [1/138 step] loss: 0.0776, accu-50: 89.45%, iou: 84.92%, 225.42m
@20230604_1048 [EP 116/500] took: 0h:8m:9s, ETA: 2d:4h:9m:36s [TRAIN] loss: 0.0331, accu-50: 96.73%, iou: 93.60% 809.19ms [EVAL] [1/138 step] loss: 0.0684, accu-50: 91.88%, iou: 86.50%, 224.76m
@20230604_1056 [EP 117/500] took: 0h:8m:9s, ETA: 2d:4h:1m:27s [TRAIN] loss: 0.0326, accu-50: 96.78%, iou: 93.69% 809.22ms [EVAL] [1/138 step] loss: 0.0891, accu-50: 90.41%, iou: 82.99%, 224.78m
@20230604_1104 [EP 118/500] took: 0h:8m:9s, ETA: 2d:3h:53m:18s [TRAIN] loss: 0.0329, accu-50: 96.75%, iou: 93.64% 809.42ms [EVAL] [1/138 step] loss: 0.0895, accu-50: 86.90%, iou: 82.90%, 225.00m
@20230604_1112 [EP 119/500] took: 0h:8m:9s, ETA: 2d:3h:45m:9s [TRAIN] loss: 0.0328, accu-50: 96.83%, iou: 93.66% 809.26ms [EVAL] [1/138 step] loss: 0.1330, accu-50: 85.26%, iou: 75.93%, 225.16m
@20230604_1120 [EP 120/500] took: 0h:8m:9s, ETA: 2d:3h:37m:0s [TRAIN] loss: 0.0327, accu-50: 96.82%, iou: 93.68% 809.47ms [EVAL] [1/138 step] loss: 0.0917, accu-50: 87.61%, iou: 82.53%, 224.97m
@20230604_1129 [EP 121/500] took: 0h:8m:9s, ETA: 2d:3h:28m:51s [TRAIN] loss: 0.0323, accu-50: 96.82%, iou: 93.75% 809.27ms [EVAL] [1/138 step] loss: 0.0841, accu-50: 88.93%, iou: 83.82%, 224.88m
@20230604_1137 [EP 122/500] took: 0h:8m:9s, ETA: 2d:3h:20m:42s [TRAIN] loss: 0.0326, accu-50: 96.76%, iou: 93.69% 809.25ms [EVAL] [1/138 step] loss: 0.0533, accu-50: 95.42%, iou: 89.19%, 224.94m
@20230604_1145 [EP 123/500] took: 0h:8m:9s, ETA: 2d:3h:12m:33s [TRAIN] loss: 0.0323, accu-50: 96.82%, iou: 93.74% 809.39ms [EVAL] [1/138 step] loss: 0.0717, accu-50: 91.45%, iou: 85.94%, 225.27m
@20230604_1153 [EP 124/500] took: 0h:8m:9s, ETA: 2d:3h:4m:24s [TRAIN] loss: 0.0324, accu-50: 96.81%, iou: 93.74% 809.19ms [EVAL] [1/138 step] loss: 0.0537, accu-50: 94.89%, iou: 89.11%, 225.14m
@20230604_1201 [EP 125/500] took: 0h:8m:9s, ETA: 2d:2h:56m:15s [TRAIN] loss: 0.0324, accu-50: 96.81%, iou: 93.73% 809.24ms [EVAL] [1/138 step] loss: 0.0648, accu-50: 93.46%, iou: 87.13%, 225.34m
@20230604_1209 [EP 126/500] took: 0h:8m:9s, ETA: 2d:2h:48m:6s [TRAIN] loss: 0.0326, accu-50: 96.75%, iou: 93.69% 809.41ms [EVAL] [1/138 step] loss: 0.0619, accu-50: 93.03%, iou: 87.65%, 225.03m
@20230604_1218 [EP 127/500] took: 0h:8m:9s, ETA: 2d:2h:39m:57s [TRAIN] loss: 0.0324, accu-50: 96.78%, iou: 93.73% 809.36ms [EVAL] [1/138 step] loss: 0.0493, accu-50: 94.83%, iou: 89.90%, 224.67m
@20230604_1226 [EP 128/500] took: 0h:8m:9s, ETA: 2d:2h:31m:48s [TRAIN] loss: 0.0320, accu-50: 96.83%, iou: 93.80% 809.51ms [EVAL] [1/138 step] loss: 0.0539, accu-50: 95.10%, iou: 89.07%, 224.86m
@20230604_1234 [EP 129/500] took: 0h:8m:9s, ETA: 2d:2h:23m:39s [TRAIN] loss: 0.0318, accu-50: 96.85%, iou: 93.84% 809.68ms [EVAL] [1/138 step] loss: 0.0529, accu-50: 95.22%, iou: 89.24%, 224.90m
@20230604_1242 [EP 130/500] took: 0h:8m:9s, ETA: 2d:2h:15m:30s [TRAIN] loss: 0.0322, accu-50: 96.87%, iou: 93.78% 809.34ms [EVAL] [1/138 step] loss: 0.0569, accu-50: 94.35%, iou: 88.54%, 224.96m
@20230604_1250 [EP 131/500] took: 0h:8m:9s, ETA: 2d:2h:7m:21s [TRAIN] loss: 0.0320, accu-50: 96.82%, iou: 93.80% 809.64ms [EVAL] [1/138 step] loss: 0.0496, accu-50: 94.55%, iou: 89.84%, 224.85m
@20230604_1258 [EP 132/500] took: 0h:8m:9s, ETA: 2d:1h:59m:12s [TRAIN] loss: 0.0317, accu-50: 96.83%, iou: 93.86% 809.72ms [EVAL] [1/138 step] loss: 0.0513, accu-50: 94.74%, iou: 89.54%, 224.56m
@20230604_1307 [EP 133/500] took: 0h:8m:9s, ETA: 2d:1h:51m:3s [TRAIN] loss: 0.0318, accu-50: 96.88%, iou: 93.85% 809.49ms [EVAL] [1/138 step] loss: 0.0646, accu-50: 92.19%, iou: 87.19%, 225.10m
@20230604_1315 [EP 134/500] took: 0h:8m:9s, ETA: 2d:1h:42m:54s [TRAIN] loss: 0.0319, accu-50: 96.83%, iou: 93.83% 809.27ms [EVAL] [1/138 step] loss: 0.0527, accu-50: 95.20%, iou: 89.29%, 224.60m
@20230604_1323 [EP 135/500] took: 0h:8m:9s, ETA: 2d:1h:34m:45s [TRAIN] loss: 0.0317, accu-50: 96.87%, iou: 93.86% 809.64ms [EVAL] [1/138 step] loss: 0.0612, accu-50: 96.55%, iou: 87.77%, 224.88m
@20230604_1331 [EP 136/500] took: 0h:8m:9s, ETA: 2d:1h:26m:36s [TRAIN] loss: 0.0314, accu-50: 96.88%, iou: 93.92% 809.51ms [EVAL] [1/138 step] loss: 0.0600, accu-50: 95.63%, iou: 87.98%, 224.78m
@20230604_1339 [EP 137/500] took: 0h:8m:9s, ETA: 2d:1h:18m:27s [TRAIN] loss: 0.0314, accu-50: 96.91%, iou: 93.92% 809.59ms [EVAL] [1/138 step] loss: 0.1054, accu-50: 91.36%, iou: 80.35%, 224.70m
@20230604_1347 [EP 138/500] took: 0h:8m:9s, ETA: 2d:1h:10m:18s [TRAIN] loss: 0.0313, accu-50: 96.91%, iou: 93.94% 809.83ms [EVAL] [1/138 step] loss: 0.0547, accu-50: 95.26%, iou: 88.93%, 224.71m
@20230604_1355 [EP 139/500] took: 0h:8m:9s, ETA: 2d:1h:2m:9s [TRAIN] loss: 0.0314, accu-50: 96.92%, iou: 93.92% 809.64ms [EVAL] [1/138 step] loss: 0.0659, accu-50: 91.81%, iou: 86.93%, 224.59m
@20230604_1404 [EP 140/500] took: 0h:8m:9s, ETA: 2d:0h:54m:0s [TRAIN] loss: 0.0315, accu-50: 96.89%, iou: 93.91% 809.50ms [EVAL] [1/138 step] loss: 0.1558, accu-50: 88.29%, iou: 72.52%, 224.94m
@20230604_1412 [EP 141/500] took: 0h:8m:9s, ETA: 2d:0h:45m:51s [TRAIN] loss: 0.0311, accu-50: 96.91%, iou: 93.98% 809.52ms [EVAL] [1/138 step] loss: 0.1020, accu-50: 92.17%, iou: 80.90%, 225.03m
@20230604_1420 [EP 142/500] took: 0h:8m:9s, ETA: 2d:0h:37m:42s [TRAIN] loss: 0.0310, accu-50: 96.92%, iou: 94.00% 809.63ms [EVAL] [1/138 step] loss: 0.0958, accu-50: 86.36%, iou: 81.85%, 224.59m
@20230604_1428 [EP 143/500] took: 0h:8m:9s, ETA: 2d:0h:29m:33s [TRAIN] loss: 0.0310, accu-50: 96.94%, iou: 93.99% 809.62ms [EVAL] [1/138 step] loss: 0.0523, accu-50: 93.53%, iou: 89.35%, 224.73m
@20230604_1436 [EP 144/500] took: 0h:8m:9s, ETA: 2d:0h:21m:24s [TRAIN] loss: 0.0311, accu-50: 96.91%, iou: 93.97% 809.61ms [EVAL] [1/138 step] loss: 0.0713, accu-50: 95.32%, iou: 86.00%, 224.90m
@20230604_1444 [EP 145/500] took: 0h:8m:9s, ETA: 2d:0h:13m:15s [TRAIN] loss: 0.0310, accu-50: 96.98%, iou: 93.99% 809.38ms [EVAL] [1/138 step] loss: 0.0902, accu-50: 88.93%, iou: 82.78%, 225.12m
@20230604_1452 [EP 146/500] took: 0h:8m:9s, ETA: 2d:0h:5m:6s [TRAIN] loss: 0.0311, accu-50: 96.92%, iou: 93.98% 809.67ms [EVAL] [1/138 step] loss: 0.0885, accu-50: 91.04%, iou: 83.08%, 225.36m
@20230604_1501 [EP 147/500] took: 0h:8m:9s, ETA: 1d:23h:56m:57s [TRAIN] loss: 0.0311, accu-50: 96.92%, iou: 93.98% 809.44ms [EVAL] [1/138 step] loss: 0.0596, accu-50: 92.58%, iou: 88.06%, 224.85m
@20230604_1509 [EP 148/500] took: 0h:8m:9s, ETA: 1d:23h:48m:48s [TRAIN] loss: 0.0308, accu-50: 96.99%, iou: 94.02% 809.42ms [EVAL] [1/138 step] loss: 0.0806, accu-50: 93.82%, iou: 84.42%, 224.81m
@20230604_1517 [EP 149/500] took: 0h:8m:9s, ETA: 1d:23h:40m:39s [TRAIN] loss: 0.0307, accu-50: 96.94%, iou: 94.05% 809.36ms [EVAL] [1/138 step] loss: 0.1217, accu-50: 88.80%, iou: 77.74%, 224.82m
@20230604_1525 [EP 150/500] took: 0h:8m:9s, ETA: 1d:23h:32m:30s [TRAIN] loss: 0.0308, accu-50: 96.90%, iou: 94.03% 809.50ms [EVAL] [1/138 step] loss: 0.0787, accu-50: 90.61%, iou: 84.75%, 224.76m
@20230604_1533 [EP 151/500] took: 0h:8m:8s, ETA: 1d:23h:18m:32s [TRAIN] loss: 0.0306, accu-50: 96.99%, iou: 94.07% 809.52ms [EVAL] [1/138 step] loss: 0.0645, accu-50: 94.81%, iou: 87.18%, 224.70m
@20230604_1541 [EP 152/500] took: 0h:8m:8s, ETA: 1d:23h:10m:24s [TRAIN] loss: 0.0308, accu-50: 96.96%, iou: 94.04% 809.92ms [EVAL] [1/138 step] loss: 0.0562, accu-50: 94.22%, iou: 88.67%, 224.74m
@20230604_1550 [EP 153/500] took: 0h:8m:8s, ETA: 1d:23h:2m:16s [TRAIN] loss: 0.0309, accu-50: 96.97%, iou: 94.02% 809.79ms [EVAL] [1/138 step] loss: 0.0681, accu-50: 91.78%, iou: 86.55%, 224.95m
@20230604_1558 [EP 154/500] took: 0h:8m:8s, ETA: 1d:22h:54m:8s [TRAIN] loss: 0.0306, accu-50: 96.94%, iou: 94.07% 809.59ms [EVAL] [1/138 step] loss: 0.0532, accu-50: 95.12%, iou: 89.19%, 224.79m
@20230604_1606 [EP 155/500] took: 0h:8m:8s, ETA: 1d:22h:46m:0s [TRAIN] loss: 0.0308, accu-50: 96.93%, iou: 94.03% 809.94ms [EVAL] [1/138 step] loss: 0.0631, accu-50: 90.13%, iou: 87.44%, 224.76m
@20230604_1614 [EP 156/500] took: 0h:8m:8s, ETA: 1d:22h:37m:52s [TRAIN] loss: 0.0304, accu-50: 96.96%, iou: 94.10% 809.46ms [EVAL] [1/138 step] loss: 0.0538, accu-50: 94.57%, iou: 89.09%, 225.27m
@20230604_1622 [EP 157/500] took: 0h:8m:8s, ETA: 1d:22h:29m:44s [TRAIN] loss: 0.0307, accu-50: 96.98%, iou: 94.06% 810.10ms [EVAL] [1/138 step] loss: 0.0964, accu-50: 90.70%, iou: 81.81%, 225.02m
@20230604_1630 [EP 158/500] took: 0h:8m:8s, ETA: 1d:22h:21m:36s [TRAIN] loss: 0.0306, accu-50: 96.89%, iou: 94.06% 809.49ms [EVAL] [1/138 step] loss: 0.0597, accu-50: 92.28%, iou: 88.03%, 225.07m
@20230604_1638 [EP 159/500] took: 0h:8m:8s, ETA: 1d:22h:13m:28s [TRAIN] loss: 0.0303, accu-50: 97.01%, iou: 94.12% 809.80ms [EVAL] [1/138 step] loss: 0.0524, accu-50: 94.07%, iou: 89.35%, 224.54m
@20230604_1647 [EP 160/500] took: 0h:8m:8s, ETA: 1d:22h:5m:20s [TRAIN] loss: 0.0303, accu-50: 96.98%, iou: 94.12% 809.76ms [EVAL] [1/138 step] loss: 0.0747, accu-50: 90.17%, iou: 85.41%, 224.90m
@20230604_1655 [EP 161/500] took: 0h:8m:8s, ETA: 1d:21h:57m:12s [TRAIN] loss: 0.0303, accu-50: 97.05%, iou: 94.12% 809.56ms [EVAL] [1/138 step] loss: 0.0681, accu-50: 91.38%, iou: 86.55%, 224.72m
@20230604_1703 [EP 162/500] took: 0h:8m:8s, ETA: 1d:21h:49m:4s [TRAIN] loss: 0.0302, accu-50: 96.99%, iou: 94.15% 809.41ms [EVAL] [1/138 step] loss: 0.0551, accu-50: 93.81%, iou: 88.86%, 224.77m
@20230604_1711 [EP 163/500] took: 0h:8m:8s, ETA: 1d:21h:40m:56s [TRAIN] loss: 0.0302, accu-50: 96.98%, iou: 94.14% 809.45ms [EVAL] [1/138 step] loss: 0.0653, accu-50: 95.66%, iou: 87.04%, 225.13m
@20230604_1719 [EP 164/500] took: 0h:8m:8s, ETA: 1d:21h:32m:48s [TRAIN] loss: 0.0300, accu-50: 97.04%, iou: 94.18% 809.73ms [EVAL] [1/138 step] loss: 0.0796, accu-50: 92.86%, iou: 84.58%, 225.28m
@20230604_1727 [EP 165/500] took: 0h:8m:8s, ETA: 1d:21h:24m:40s [TRAIN] loss: 0.0297, accu-50: 97.08%, iou: 94.24% 809.71ms [EVAL] [1/138 step] loss: 0.0791, accu-50: 92.41%, iou: 84.68%, 224.48m
@20230604_1735 [EP 166/500] took: 0h:8m:8s, ETA: 1d:21h:16m:32s [TRAIN] loss: 0.0300, accu-50: 97.03%, iou: 94.19% 809.87ms [EVAL] [1/138 step] loss: 0.0536, accu-50: 93.70%, iou: 89.12%, 224.67m
@20230604_1744 [EP 167/500] took: 0h:8m:8s, ETA: 1d:21h:8m:24s [TRAIN] loss: 0.0298, accu-50: 97.10%, iou: 94.22% 810.08ms [EVAL] [1/138 step] loss: 0.0514, accu-50: 93.25%, iou: 89.52%, 224.61m
@20230604_1752 [EP 168/500] took: 0h:8m:8s, ETA: 1d:21h:0m:16s [TRAIN] loss: 0.0294, accu-50: 97.11%, iou: 94.28% 809.53ms [EVAL] [1/138 step] loss: 0.0582, accu-50: 95.09%, iou: 88.31%, 225.08m
@20230604_1800 [EP 169/500] took: 0h:8m:8s, ETA: 1d:20h:52m:8s [TRAIN] loss: 0.0296, accu-50: 97.10%, iou: 94.25% 809.84ms [EVAL] [1/138 step] loss: 0.0555, accu-50: 94.59%, iou: 88.77%, 225.21m
@20230604_1808 [EP 170/500] took: 0h:8m:8s, ETA: 1d:20h:44m:0s [TRAIN] loss: 0.0297, accu-50: 97.06%, iou: 94.24% 809.74ms [EVAL] [1/138 step] loss: 0.0653, accu-50: 94.44%, iou: 87.04%, 224.89m
@20230604_1816 [EP 171/500] took: 0h:8m:8s, ETA: 1d:20h:35m:52s [TRAIN] loss: 0.0295, accu-50: 97.09%, iou: 94.28% 809.91ms [EVAL] [1/138 step] loss: 0.0606, accu-50: 96.50%, iou: 87.87%, 225.29m
@20230604_1824 [EP 172/500] took: 0h:8m:8s, ETA: 1d:20h:27m:44s [TRAIN] loss: 0.0295, accu-50: 97.08%, iou: 94.28% 809.40ms [EVAL] [1/138 step] loss: 0.0687, accu-50: 93.10%, iou: 86.45%, 224.67m
@20230604_1832 [EP 173/500] took: 0h:8m:8s, ETA: 1d:20h:19m:36s [TRAIN] loss: 0.0293, accu-50: 97.10%, iou: 94.31% 809.62ms [EVAL] [1/138 step] loss: 0.0697, accu-50: 95.26%, iou: 86.28%, 225.24m
@20230604_1841 [EP 174/500] took: 0h:8m:8s, ETA: 1d:20h:11m:28s [TRAIN] loss: 0.0295, accu-50: 97.09%, iou: 94.27% 809.54ms [EVAL] [1/138 step] loss: 0.1152, accu-50: 92.47%, iou: 78.71%, 224.60m
@20230604_1849 [EP 175/500] took: 0h:8m:8s, ETA: 1d:20h:3m:20s [TRAIN] loss: 0.0293, accu-50: 97.13%, iou: 94.32% 809.56ms [EVAL] [1/138 step] loss: 0.0902, accu-50: 90.59%, iou: 82.80%, 224.78m
@20230604_1857 [EP 176/500] took: 0h:8m:8s, ETA: 1d:19h:55m:12s [TRAIN] loss: 0.0293, accu-50: 97.14%, iou: 94.32% 809.50ms [EVAL] [1/138 step] loss: 0.0865, accu-50: 91.26%, iou: 83.43%, 224.73m
@20230604_1905 [EP 177/500] took: 0h:8m:8s, ETA: 1d:19h:47m:4s [TRAIN] loss: 0.0293, accu-50: 97.13%, iou: 94.31% 809.48ms [EVAL] [1/138 step] loss: 0.0502, accu-50: 95.54%, iou: 89.74%, 224.86m
@20230604_1913 [EP 178/500] took: 0h:8m:8s, ETA: 1d:19h:38m:56s [TRAIN] loss: 0.0291, accu-50: 97.13%, iou: 94.35% 809.42ms [EVAL] [1/138 step] loss: 0.0731, accu-50: 93.01%, iou: 85.72%, 224.45m
@20230604_1921 [EP 179/500] took: 0h:8m:8s, ETA: 1d:19h:30m:48s [TRAIN] loss: 0.0290, accu-50: 97.15%, iou: 94.37% 809.61ms [EVAL] [1/138 step] loss: 0.0540, accu-50: 94.13%, iou: 89.05%, 224.81m
@20230604_1930 [EP 180/500] took: 0h:8m:8s, ETA: 1d:19h:22m:40s [TRAIN] loss: 0.0290, accu-50: 97.14%, iou: 94.36% 809.69ms [EVAL] [1/138 step] loss: 0.0833, accu-50: 90.66%, iou: 83.95%, 224.86m
@20230604_1938 [EP 181/500] took: 0h:8m:8s, ETA: 1d:19h:14m:32s [TRAIN] loss: 0.0289, accu-50: 97.14%, iou: 94.38% 809.64ms [EVAL] [1/138 step] loss: 0.0596, accu-50: 93.19%, iou: 88.05%, 224.81m
@20230604_1946 [EP 182/500] took: 0h:8m:8s, ETA: 1d:19h:6m:24s [TRAIN] loss: 0.0290, accu-50: 97.19%, iou: 94.37% 809.47ms [EVAL] [1/138 step] loss: 0.0495, accu-50: 95.12%, iou: 89.86%, 225.13m
@20230604_1954 [EP 183/500] took: 0h:8m:8s, ETA: 1d:18h:58m:16s [TRAIN] loss: 0.0288, accu-50: 97.17%, iou: 94.40% 809.55ms [EVAL] [1/138 step] loss: 0.0493, accu-50: 94.41%, iou: 89.91%, 224.79m
@20230604_2002 [EP 184/500] took: 0h:8m:8s, ETA: 1d:18h:50m:8s [TRAIN] loss: 0.0294, accu-50: 97.11%, iou: 94.30% 809.57ms [EVAL] [1/138 step] loss: 0.0527, accu-50: 93.06%, iou: 89.29%, 224.71m
@20230604_2010 [EP 185/500] took: 0h:8m:8s, ETA: 1d:18h:42m:0s [TRAIN] loss: 0.0293, accu-50: 97.11%, iou: 94.32% 809.51ms [EVAL] [1/138 step] loss: 0.0531, accu-50: 94.67%, iou: 89.21%, 224.75m
@20230604_2018 [EP 186/500] took: 0h:8m:8s, ETA: 1d:18h:33m:52s [TRAIN] loss: 0.0291, accu-50: 97.11%, iou: 94.35% 809.66ms [EVAL] [1/138 step] loss: 0.0688, accu-50: 92.45%, iou: 86.44%, 224.86m
@20230604_2027 [EP 187/500] took: 0h:8m:8s, ETA: 1d:18h:25m:44s [TRAIN] loss: 0.0289, accu-50: 97.16%, iou: 94.39% 809.81ms [EVAL] [1/138 step] loss: 0.0556, accu-50: 94.09%, iou: 88.77%, 224.74m
@20230604_2035 [EP 188/500] took: 0h:8m:8s, ETA: 1d:18h:17m:36s [TRAIN] loss: 0.0287, accu-50: 97.18%, iou: 94.43% 809.78ms [EVAL] [1/138 step] loss: 0.0515, accu-50: 94.29%, iou: 89.50%, 225.18m
@20230604_2043 [EP 189/500] took: 0h:8m:8s, ETA: 1d:18h:9m:28s [TRAIN] loss: 0.0286, accu-50: 97.20%, iou: 94.44% 809.57ms [EVAL] [1/138 step] loss: 0.0536, accu-50: 95.64%, iou: 89.13%, 224.68m
@20230604_2051 [EP 190/500] took: 0h:8m:8s, ETA: 1d:18h:1m:20s [TRAIN] loss: 0.0285, accu-50: 97.19%, iou: 94.46% 809.68ms [EVAL] [1/138 step] loss: 0.0528, accu-50: 95.45%, iou: 89.26%, 224.88m
@20230604_2059 [EP 191/500] took: 0h:8m:8s, ETA: 1d:17h:53m:12s [TRAIN] loss: 0.0285, accu-50: 97.20%, iou: 94.46% 809.49ms [EVAL] [1/138 step] loss: 0.0503, accu-50: 95.49%, iou: 89.72%, 225.08m
@20230604_2107 [EP 192/500] took: 0h:8m:8s, ETA: 1d:17h:45m:4s [TRAIN] loss: 0.0286, accu-50: 97.17%, iou: 94.45% 809.62ms [EVAL] [1/138 step] loss: 0.0521, accu-50: 93.97%, iou: 89.39%, 225.04m
@20230604_2115 [EP 193/500] took: 0h:8m:8s, ETA: 1d:17h:36m:56s [TRAIN] loss: 0.0284, accu-50: 97.21%, iou: 94.49% 809.33ms [EVAL] [1/138 step] loss: 0.0507, accu-50: 94.36%, iou: 89.64%, 225.02m
@20230604_2124 [EP 194/500] took: 0h:8m:8s, ETA: 1d:17h:28m:48s [TRAIN] loss: 0.0283, accu-50: 97.20%, iou: 94.50% 809.60ms [EVAL] [1/138 step] loss: 0.0511, accu-50: 95.62%, iou: 89.57%, 224.38m
@20230604_2132 [EP 195/500] took: 0h:8m:8s, ETA: 1d:17h:20m:40s [TRAIN] loss: 0.0283, accu-50: 97.21%, iou: 94.50% 809.60ms [EVAL] [1/138 step] loss: 0.0491, accu-50: 93.97%, iou: 89.93%, 224.47m
@20230604_2140 [EP 196/500] took: 0h:8m:8s, ETA: 1d:17h:12m:32s [TRAIN] loss: 0.0281, accu-50: 97.23%, iou: 94.53% 809.33ms [EVAL] [1/138 step] loss: 0.0509, accu-50: 93.95%, iou: 89.62%, 224.45m
@20230604_2148 [EP 197/500] took: 0h:8m:8s, ETA: 1d:17h:4m:24s [TRAIN] loss: 0.0283, accu-50: 97.23%, iou: 94.50% 808.96ms [EVAL] [1/138 step] loss: 0.0508, accu-50: 94.10%, iou: 89.63%, 224.98m
