

** [alpha] Launch Training on 20230725_2110
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "architecture": "SEGFORMER",
  "baseModel": "MITB2",
  "numGPUs": 4,
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 10,
  "lr_scheduling": "const",
  "lr": 6e-05,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/consolidate_train_db_20230711_1637.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230711_1637.txt",
  "exp_comment": "* Updated Annotations are used\n* Updated consolidate DB used (0711_1637 version) - Updated DB \n* This consolidate DB is updated from 0703_2119 version \n* 4 GPUs are used to train models\n* SEGFORMER Model W/ MIT B0 Pretrained Wegiths\n",
  "isCompleted": false,
  "config": "Config/TRAIN_SEGFORMER_NEWDB_20230711.yaml",
  "numTrainDB": 11530,
  "numEvalDB": 3524
}
@20230725_2115 @20230725_2115 [EP 1/500] lr: 6e-05, took: 262.72s (avg: 262.72s), ETA: 1d:12h:18m:58s [TRAIN] loss: 0.8826, iou: 0.0654, f1: 0.1174 [EVAL] loss: 0.7375, iou: 0.1525, f1: 0.2625
@20230726_0025 @20230726_0025 [EP 96/500] lr: 6e-05, took: 118.04s (avg: 118.04s), ETA: 0d:13h:14m:32s [TRAIN] loss: 0.2010, iou: 0.6769, f1: 0.7990 [EVAL] loss: 0.2523, iou: 0.6075, f1: 0.7477
@20230726_0027 @20230726_0027 [EP 97/500] lr: 6e-05, took: 118.24s (avg: 118.24s), ETA: 0d:13h:12m:34s [TRAIN] loss: 0.2002, iou: 0.6782, f1: 0.7998 [EVAL] loss: 0.2512, iou: 0.6088, f1: 0.7488
@20230726_0029 @20230726_0029 [EP 98/500] lr: 6e-05, took: 118.19s (avg: 118.19s), ETA: 0d:13h:10m:36s [TRAIN] loss: 0.2003, iou: 0.6781, f1: 0.7997 [EVAL] loss: 0.2522, iou: 0.6077, f1: 0.7478
@20230726_0031 @20230726_0031 [EP 99/500] lr: 6e-05, took: 118.30s (avg: 118.30s), ETA: 0d:13h:8m:38s [TRAIN] loss: 0.2000, iou: 0.6785, f1: 0.8000 [EVAL] loss: 0.2506, iou: 0.6098, f1: 0.7494
@20230726_0033 @20230726_0033 [EP 100/500] lr: 6e-05, took: 117.90s (avg: 117.90s), ETA: 0d:13h:0m:0s [TRAIN] loss: 0.1998, iou: 0.6788, f1: 0.8002 [EVAL] loss: 0.2512, iou: 0.6090, f1: 0.7488
@20230726_0035 @20230726_0035 [EP 101/500] lr: 6e-05, took: 118.13s (avg: 118.13s), ETA: 0d:13h:4m:42s [TRAIN] loss: 0.2000, iou: 0.6786, f1: 0.8000 [EVAL] loss: 0.2515, iou: 0.6088, f1: 0.7485
@20230726_0037 @20230726_0037 [EP 102/500] lr: 6e-05, took: 118.01s (avg: 118.01s), ETA: 0d:13h:2m:44s [TRAIN] loss: 0.1998, iou: 0.6788, f1: 0.8002 [EVAL] loss: 0.2519, iou: 0.6081, f1: 0.7481
@20230726_0039 @20230726_0039 [EP 103/500] lr: 6e-05, took: 118.00s (avg: 118.00s), ETA: 0d:12h:54m:9s [TRAIN] loss: 0.1996, iou: 0.6792, f1: 0.8004 [EVAL] loss: 0.2512, iou: 0.6090, f1: 0.7488
@20230726_0041 @20230726_0041 [EP 104/500] lr: 6e-05, took: 117.91s (avg: 117.91s), ETA: 0d:12h:52m:12s [TRAIN] loss: 0.2011, iou: 0.6770, f1: 0.7989 [EVAL] loss: 0.2515, iou: 0.6085, f1: 0.7485
@20230726_0043 @20230726_0043 [EP 105/500] lr: 6e-05, took: 117.95s (avg: 117.95s), ETA: 0d:12h:50m:15s [TRAIN] loss: 0.2016, iou: 0.6762, f1: 0.7984 [EVAL] loss: 0.2579, iou: 0.5997, f1: 0.7421
@20230726_0045 @20230726_0045 [EP 106/500] lr: 6e-05, took: 118.05s (avg: 118.05s), ETA: 0d:12h:54m:52s [TRAIN] loss: 0.2029, iou: 0.6744, f1: 0.7971 [EVAL] loss: 0.2539, iou: 0.6049, f1: 0.7461
@20230726_0047 @20230726_0047 [EP 107/500] lr: 6e-05, took: 118.18s (avg: 118.18s), ETA: 0d:12h:52m:54s [TRAIN] loss: 0.2025, iou: 0.6751, f1: 0.7975 [EVAL] loss: 0.2508, iou: 0.6091, f1: 0.7492
@20230726_0049 @20230726_0049 [EP 108/500] lr: 6e-05, took: 118.29s (avg: 118.29s), ETA: 0d:12h:50m:56s [TRAIN] loss: 0.2028, iou: 0.6746, f1: 0.7972 [EVAL] loss: 0.2504, iou: 0.6098, f1: 0.7496
@20230726_0051 @20230726_0051 [EP 109/500] lr: 6e-05, took: 118.03s (avg: 118.03s), ETA: 0d:12h:48m:58s [TRAIN] loss: 0.2031, iou: 0.6742, f1: 0.7969 [EVAL] loss: 0.2494, iou: 0.6111, f1: 0.7506
@20230726_0053 @20230726_0053 [EP 110/500] lr: 6e-05, took: 118.19s (avg: 118.19s), ETA: 0d:12h:47m:0s [TRAIN] loss: 0.2014, iou: 0.6767, f1: 0.7986 [EVAL] loss: 0.2515, iou: 0.6082, f1: 0.7485
@20230726_0055 @20230726_0055 [EP 111/500] lr: 6e-05, took: 118.02s (avg: 118.02s), ETA: 0d:12h:45m:2s [TRAIN] loss: 0.2005, iou: 0.6778, f1: 0.7995 [EVAL] loss: 0.2516, iou: 0.6081, f1: 0.7484
@20230726_0057 @20230726_0057 [EP 112/500] lr: 6e-05, took: 118.31s (avg: 118.31s), ETA: 0d:12h:43m:4s [TRAIN] loss: 0.1984, iou: 0.6809, f1: 0.8016 [EVAL] loss: 0.2499, iou: 0.6105, f1: 0.7501
@20230726_0058 @20230726_0058 [EP 113/500] lr: 6e-05, took: 118.14s (avg: 118.14s), ETA: 0d:12h:41m:6s [TRAIN] loss: 0.1976, iou: 0.6820, f1: 0.8024 [EVAL] loss: 0.2495, iou: 0.6110, f1: 0.7505
@20230726_0100 @20230726_0100 [EP 114/500] lr: 6e-05, took: 117.90s (avg: 117.90s), ETA: 0d:12h:32m:42s [TRAIN] loss: 0.1965, iou: 0.6836, f1: 0.8035 [EVAL] loss: 0.2506, iou: 0.6094, f1: 0.7494
@20230726_0102 @20230726_0102 [EP 115/500] lr: 6e-05, took: 117.71s (avg: 117.71s), ETA: 0d:12h:30m:45s [TRAIN] loss: 0.1960, iou: 0.6843, f1: 0.8040 [EVAL] loss: 0.2492, iou: 0.6114, f1: 0.7508
@20230726_0104 @20230726_0104 [EP 116/500] lr: 6e-05, took: 117.88s (avg: 117.88s), ETA: 0d:12h:28m:48s [TRAIN] loss: 0.1957, iou: 0.6848, f1: 0.8043 [EVAL] loss: 0.2497, iou: 0.6107, f1: 0.7503
@20230726_0106 @20230726_0106 [EP 117/500] lr: 6e-05, took: 118.13s (avg: 118.13s), ETA: 0d:12h:33m:14s [TRAIN] loss: 0.1963, iou: 0.6839, f1: 0.8037 [EVAL] loss: 0.2489, iou: 0.6117, f1: 0.7511
@20230726_0108 @20230726_0108 [EP 118/500] lr: 6e-05, took: 117.95s (avg: 117.95s), ETA: 0d:12h:24m:54s [TRAIN] loss: 0.1958, iou: 0.6845, f1: 0.8042 [EVAL] loss: 0.2490, iou: 0.6116, f1: 0.7510
@20230726_0110 @20230726_0110 [EP 119/500] lr: 6e-05, took: 117.98s (avg: 117.98s), ETA: 0d:12h:22m:57s [TRAIN] loss: 0.1966, iou: 0.6835, f1: 0.8034 [EVAL] loss: 0.2514, iou: 0.6083, f1: 0.7486
@20230726_0112 @20230726_0112 [EP 120/500] lr: 6e-05, took: 117.87s (avg: 117.87s), ETA: 0d:12h:21m:0s [TRAIN] loss: 0.1967, iou: 0.6833, f1: 0.8033 [EVAL] loss: 0.2490, iou: 0.6114, f1: 0.7510
@20230726_0114 @20230726_0114 [EP 121/500] lr: 6e-05, took: 118.12s (avg: 118.12s), ETA: 0d:12h:25m:22s [TRAIN] loss: 0.1961, iou: 0.6841, f1: 0.8039 [EVAL] loss: 0.2575, iou: 0.5999, f1: 0.7425
@20230726_0116 @20230726_0116 [EP 122/500] lr: 6e-05, took: 118.22s (avg: 118.22s), ETA: 0d:12h:23m:24s [TRAIN] loss: 0.1966, iou: 0.6834, f1: 0.8034 [EVAL] loss: 0.2552, iou: 0.6032, f1: 0.7448
@20230726_0118 @20230726_0118 [EP 123/500] lr: 6e-05, took: 117.80s (avg: 117.80s), ETA: 0d:12h:15m:9s [TRAIN] loss: 0.1972, iou: 0.6825, f1: 0.8028 [EVAL] loss: 0.2505, iou: 0.6093, f1: 0.7495
@20230726_0120 @20230726_0120 [EP 124/500] lr: 6e-05, took: 117.71s (avg: 117.71s), ETA: 0d:12h:13m:12s [TRAIN] loss: 0.1975, iou: 0.6821, f1: 0.8025 [EVAL] loss: 0.2477, iou: 0.6131, f1: 0.7523
@20230726_0122 @20230726_0122 [EP 125/500] lr: 6e-05, took: 117.82s (avg: 117.82s), ETA: 0d:12h:11m:15s [TRAIN] loss: 0.1970, iou: 0.6826, f1: 0.8030 [EVAL] loss: 0.2470, iou: 0.6139, f1: 0.7530
@20230726_0124 @20230726_0124 [EP 126/500] lr: 6e-05, took: 117.91s (avg: 117.91s), ETA: 0d:12h:9m:18s [TRAIN] loss: 0.1963, iou: 0.6834, f1: 0.8037 [EVAL] loss: 0.2480, iou: 0.6127, f1: 0.7520
@20230726_0126 @20230726_0126 [EP 127/500] lr: 6e-05, took: 118.05s (avg: 118.05s), ETA: 0d:12h:13m:34s [TRAIN] loss: 0.1970, iou: 0.6823, f1: 0.8030 [EVAL] loss: 0.2467, iou: 0.6144, f1: 0.7533
@20230726_0128 @20230726_0128 [EP 128/500] lr: 6e-05, took: 118.09s (avg: 118.09s), ETA: 0d:12h:11m:36s [TRAIN] loss: 0.1969, iou: 0.6824, f1: 0.8031 [EVAL] loss: 0.2464, iou: 0.6150, f1: 0.7536
@20230726_0130 @20230726_0130 [EP 129/500] lr: 6e-05, took: 117.93s (avg: 117.93s), ETA: 0d:12h:3m:27s [TRAIN] loss: 0.1970, iou: 0.6823, f1: 0.8030 [EVAL] loss: 0.2459, iou: 0.6157, f1: 0.7541
@20230726_0132 @20230726_0132 [EP 130/500] lr: 6e-05, took: 117.96s (avg: 117.96s), ETA: 0d:12h:1m:30s [TRAIN] loss: 0.1962, iou: 0.6834, f1: 0.8038 [EVAL] loss: 0.2446, iou: 0.6174, f1: 0.7554
@20230726_0134 @20230726_0134 [EP 131/500] lr: 6e-05, took: 118.01s (avg: 118.01s), ETA: 0d:12h:5m:42s [TRAIN] loss: 0.1949, iou: 0.6853, f1: 0.8051 [EVAL] loss: 0.2455, iou: 0.6164, f1: 0.7545
@20230726_0136 @20230726_0136 [EP 132/500] lr: 6e-05, took: 118.01s (avg: 118.01s), ETA: 0d:12h:3m:44s [TRAIN] loss: 0.1936, iou: 0.6872, f1: 0.8064 [EVAL] loss: 0.2460, iou: 0.6158, f1: 0.7540
@20230726_0138 @20230726_0138 [EP 133/500] lr: 6e-05, took: 117.94s (avg: 117.94s), ETA: 0d:11h:55m:39s [TRAIN] loss: 0.1917, iou: 0.6900, f1: 0.8083 [EVAL] loss: 0.2465, iou: 0.6151, f1: 0.7535
@20230726_0140 @20230726_0140 [EP 134/500] lr: 6e-05, took: 117.92s (avg: 117.92s), ETA: 0d:11h:53m:42s [TRAIN] loss: 0.1925, iou: 0.6888, f1: 0.8075 [EVAL] loss: 0.2468, iou: 0.6148, f1: 0.7532
@20230726_0144 @20230726_0144 [EP 136/500] lr: 6e-05, took: 118.03s (avg: 118.03s), ETA: 0d:11h:55m:52s [TRAIN] loss: 0.1915, iou: 0.6901, f1: 0.8085 [EVAL] loss: 0.2468, iou: 0.6148, f1: 0.7532
@20230726_0146 @20230726_0146 [EP 137/500] lr: 6e-05, took: 118.08s (avg: 118.08s), ETA: 0d:11h:53m:54s [TRAIN] loss: 0.1915, iou: 0.6901, f1: 0.8085 [EVAL] loss: 0.2479, iou: 0.6135, f1: 0.7521
@20230726_0148 @20230726_0148 [EP 138/500] lr: 6e-05, took: 118.24s (avg: 118.24s), ETA: 0d:11h:51m:56s [TRAIN] loss: 0.1912, iou: 0.6905, f1: 0.8088 [EVAL] loss: 0.2495, iou: 0.6116, f1: 0.7505
@20230726_0150 @20230726_0150 [EP 139/500] lr: 6e-05, took: 118.09s (avg: 118.09s), ETA: 0d:11h:49m:58s [TRAIN] loss: 0.1912, iou: 0.6906, f1: 0.8088 [EVAL] loss: 0.2511, iou: 0.6094, f1: 0.7489
@20230726_0152 @20230726_0152 [EP 140/500] lr: 6e-05, took: 117.76s (avg: 117.76s), ETA: 0d:11h:42m:0s [TRAIN] loss: 0.1911, iou: 0.6907, f1: 0.8089 [EVAL] loss: 0.2475, iou: 0.6141, f1: 0.7525
@20230726_0154 @20230726_0154 [EP 141/500] lr: 6e-05, took: 117.93s (avg: 117.93s), ETA: 0d:11h:40m:3s [TRAIN] loss: 0.1909, iou: 0.6910, f1: 0.8091 [EVAL] loss: 0.2468, iou: 0.6147, f1: 0.7532
@20230726_0156 @20230726_0156 [EP 142/500] lr: 6e-05, took: 117.96s (avg: 117.96s), ETA: 0d:11h:38m:6s [TRAIN] loss: 0.1915, iou: 0.6901, f1: 0.8085 [EVAL] loss: 0.2496, iou: 0.6109, f1: 0.7504
@20230726_0158 @20230726_0158 [EP 143/500] lr: 6e-05, took: 118.08s (avg: 118.08s), ETA: 0d:11h:42m:6s [TRAIN] loss: 0.1939, iou: 0.6867, f1: 0.8061 [EVAL] loss: 0.2460, iou: 0.6156, f1: 0.7540
@20230726_0200 @20230726_0200 [EP 144/500] lr: 6e-05, took: 118.01s (avg: 118.01s), ETA: 0d:11h:40m:8s [TRAIN] loss: 0.1937, iou: 0.6870, f1: 0.8063 [EVAL] loss: 0.2444, iou: 0.6176, f1: 0.7556
@20230726_0202 @20230726_0202 [EP 145/500] lr: 6e-05, took: 118.03s (avg: 118.03s), ETA: 0d:11h:38m:10s [TRAIN] loss: 0.1928, iou: 0.6882, f1: 0.8072 [EVAL] loss: 0.2456, iou: 0.6160, f1: 0.7544
@20230726_0204 @20230726_0204 [EP 146/500] lr: 6e-05, took: 118.12s (avg: 118.12s), ETA: 0d:11h:36m:12s [TRAIN] loss: 0.1906, iou: 0.6915, f1: 0.8094 [EVAL] loss: 0.2470, iou: 0.6142, f1: 0.7530
@20230726_0206 @20230726_0206 [EP 147/500] lr: 6e-05, took: 117.86s (avg: 117.86s), ETA: 0d:11h:28m:21s [TRAIN] loss: 0.1893, iou: 0.6933, f1: 0.8107 [EVAL] loss: 0.2457, iou: 0.6159, f1: 0.7543
@20230726_0208 @20230726_0208 [EP 148/500] lr: 6e-05, took: 117.93s (avg: 117.93s), ETA: 0d:11h:26m:24s [TRAIN] loss: 0.1886, iou: 0.6944, f1: 0.8114 [EVAL] loss: 0.2464, iou: 0.6150, f1: 0.7536
@20230726_0210 @20230726_0210 [EP 149/500] lr: 6e-05, took: 118.02s (avg: 118.02s), ETA: 0d:11h:30m:18s [TRAIN] loss: 0.1881, iou: 0.6950, f1: 0.8119 [EVAL] loss: 0.2459, iou: 0.6157, f1: 0.7541
@20230726_0212 @20230726_0212 [EP 150/500] lr: 6e-05, took: 118.10s (avg: 118.10s), ETA: 0d:11h:28m:20s [TRAIN] loss: 0.1877, iou: 0.6957, f1: 0.8123 [EVAL] loss: 0.2452, iou: 0.6168, f1: 0.7548
@20230726_0214 @20230726_0214 [EP 151/500] lr: 6e-05, took: 118.03s (avg: 118.03s), ETA: 0d:11h:26m:22s [TRAIN] loss: 0.1871, iou: 0.6965, f1: 0.8129 [EVAL] loss: 0.2432, iou: 0.6193, f1: 0.7568
@20230726_0216 @20230726_0216 [EP 152/500] lr: 6e-05, took: 118.08s (avg: 118.08s), ETA: 0d:11h:24m:24s [TRAIN] loss: 0.1871, iou: 0.6965, f1: 0.8129 [EVAL] loss: 0.2441, iou: 0.6182, f1: 0.7559
@20230726_0218 @20230726_0218 [EP 153/500] lr: 6e-05, took: 117.86s (avg: 117.86s), ETA: 0d:11h:16m:39s [TRAIN] loss: 0.1871, iou: 0.6966, f1: 0.8129 [EVAL] loss: 0.2431, iou: 0.6194, f1: 0.7569
@20230726_0220 @20230726_0220 [EP 154/500] lr: 6e-05, took: 117.97s (avg: 117.97s), ETA: 0d:11h:14m:42s [TRAIN] loss: 0.1869, iou: 0.6968, f1: 0.8131 [EVAL] loss: 0.2445, iou: 0.6178, f1: 0.7555
@20230726_0222 @20230726_0222 [EP 155/500] lr: 6e-05, took: 118.32s (avg: 118.32s), ETA: 0d:11h:18m:30s [TRAIN] loss: 0.1871, iou: 0.6965, f1: 0.8129 [EVAL] loss: 0.2442, iou: 0.6181, f1: 0.7558
@20230726_0224 @20230726_0224 [EP 156/500] lr: 6e-05, took: 117.93s (avg: 117.93s), ETA: 0d:11h:10m:48s [TRAIN] loss: 0.1872, iou: 0.6964, f1: 0.8128 [EVAL] loss: 0.2456, iou: 0.6160, f1: 0.7544
@20230726_0226 @20230726_0226 [EP 157/500] lr: 6e-05, took: 118.00s (avg: 118.00s), ETA: 0d:11h:14m:34s [TRAIN] loss: 0.1869, iou: 0.6967, f1: 0.8131 [EVAL] loss: 0.2450, iou: 0.6165, f1: 0.7550
@20230726_0228 @20230726_0228 [EP 158/500] lr: 6e-05, took: 117.90s (avg: 117.90s), ETA: 0d:11h:6m:54s [TRAIN] loss: 0.1873, iou: 0.6962, f1: 0.8127 [EVAL] loss: 0.2441, iou: 0.6178, f1: 0.7559
@20230726_0230 @20230726_0230 [EP 159/500] lr: 6e-05, took: 119.63s (avg: 119.63s), ETA: 0d:11h:16m:19s [TRAIN] loss: 0.1877, iou: 0.6957, f1: 0.8123 [EVAL] loss: 0.2470, iou: 0.6138, f1: 0.7530
@20230726_0232 @20230726_0232 [EP 160/500] lr: 6e-05, took: 118.05s (avg: 118.05s), ETA: 0d:11h:8m:40s [TRAIN] loss: 0.1875, iou: 0.6959, f1: 0.8125 [EVAL] loss: 0.2460, iou: 0.6149, f1: 0.7540
@20230726_0234 @20230726_0234 [EP 161/500] lr: 6e-05, took: 118.19s (avg: 118.19s), ETA: 0d:11h:6m:42s [TRAIN] loss: 0.1890, iou: 0.6938, f1: 0.8110 [EVAL] loss: 0.2434, iou: 0.6187, f1: 0.7566
@20230726_0236 @20230726_0236 [EP 162/500] lr: 6e-05, took: 118.25s (avg: 118.25s), ETA: 0d:11h:4m:44s [TRAIN] loss: 0.1901, iou: 0.6921, f1: 0.8099 [EVAL] loss: 0.2433, iou: 0.6192, f1: 0.7567
@20230726_0238 @20230726_0238 [EP 163/500] lr: 6e-05, took: 118.09s (avg: 118.09s), ETA: 0d:11h:2m:46s [TRAIN] loss: 0.1914, iou: 0.6904, f1: 0.8086 [EVAL] loss: 0.2445, iou: 0.6178, f1: 0.7555
@20230726_0240 @20230726_0240 [EP 164/500] lr: 6e-05, took: 118.51s (avg: 118.51s), ETA: 0d:11h:0m:48s [TRAIN] loss: 0.1896, iou: 0.6929, f1: 0.8104 [EVAL] loss: 0.2493, iou: 0.6115, f1: 0.7507
@20230726_0242 @20230726_0242 [EP 165/500] lr: 6e-05, took: 118.27s (avg: 118.27s), ETA: 0d:10h:58m:50s [TRAIN] loss: 0.1893, iou: 0.6934, f1: 0.8107 [EVAL] loss: 0.2503, iou: 0.6104, f1: 0.7497
@20230726_0244 @20230726_0244 [EP 166/500] lr: 6e-05, took: 118.10s (avg: 118.10s), ETA: 0d:10h:56m:52s [TRAIN] loss: 0.1880, iou: 0.6952, f1: 0.8120 [EVAL] loss: 0.2480, iou: 0.6134, f1: 0.7520
@20230726_0246 @20230726_0246 [EP 167/500] lr: 6e-05, took: 118.13s (avg: 118.13s), ETA: 0d:10h:54m:54s [TRAIN] loss: 0.1871, iou: 0.6966, f1: 0.8129 [EVAL] loss: 0.2468, iou: 0.6150, f1: 0.7532
@20230726_0248 @20230726_0248 [EP 168/500] lr: 6e-05, took: 118.15s (avg: 118.15s), ETA: 0d:10h:52m:56s [TRAIN] loss: 0.1869, iou: 0.6968, f1: 0.8131 [EVAL] loss: 0.2464, iou: 0.6153, f1: 0.7536
@20230726_0250 @20230726_0250 [EP 169/500] lr: 6e-05, took: 118.03s (avg: 118.03s), ETA: 0d:10h:50m:58s [TRAIN] loss: 0.1866, iou: 0.6972, f1: 0.8134 [EVAL] loss: 0.2455, iou: 0.6165, f1: 0.7545
@20230726_0252 @20230726_0252 [EP 170/500] lr: 6e-05, took: 118.19s (avg: 118.19s), ETA: 0d:10h:49m:0s [TRAIN] loss: 0.1858, iou: 0.6984, f1: 0.8142 [EVAL] loss: 0.2462, iou: 0.6158, f1: 0.7538
@20230726_0254 @20230726_0254 [EP 171/500] lr: 6e-05, took: 117.74s (avg: 117.74s), ETA: 0d:10h:41m:33s [TRAIN] loss: 0.1860, iou: 0.6980, f1: 0.8140 [EVAL] loss: 0.2439, iou: 0.6186, f1: 0.7561
@20230726_0256 @20230726_0256 [EP 172/500] lr: 6e-05, took: 117.86s (avg: 117.86s), ETA: 0d:10h:39m:36s [TRAIN] loss: 0.1854, iou: 0.6990, f1: 0.8146 [EVAL] loss: 0.2419, iou: 0.6211, f1: 0.7581
@20230726_0258 @20230726_0258 [EP 173/500] lr: 6e-05, took: 117.92s (avg: 117.92s), ETA: 0d:10h:37m:39s [TRAIN] loss: 0.1856, iou: 0.6987, f1: 0.8144 [EVAL] loss: 0.2437, iou: 0.6188, f1: 0.7563
@20230726_0300 @20230726_0300 [EP 174/500] lr: 6e-05, took: 118.02s (avg: 118.02s), ETA: 0d:10h:41m:8s [TRAIN] loss: 0.1852, iou: 0.6993, f1: 0.8148 [EVAL] loss: 0.2408, iou: 0.6225, f1: 0.7592
@20230726_0302 @20230726_0302 [EP 175/500] lr: 6e-05, took: 118.15s (avg: 118.15s), ETA: 0d:10h:39m:10s [TRAIN] loss: 0.1856, iou: 0.6987, f1: 0.8144 [EVAL] loss: 0.2410, iou: 0.6223, f1: 0.7590
@20230726_0304 @20230726_0304 [EP 176/500] lr: 6e-05, took: 118.01s (avg: 118.01s), ETA: 0d:10h:37m:12s [TRAIN] loss: 0.1851, iou: 0.6995, f1: 0.8149 [EVAL] loss: 0.2416, iou: 0.6215, f1: 0.7584
@20230726_0306 @20230726_0306 [EP 177/500] lr: 6e-05, took: 117.89s (avg: 117.89s), ETA: 0d:10h:29m:51s [TRAIN] loss: 0.1857, iou: 0.6986, f1: 0.8143 [EVAL] loss: 0.2415, iou: 0.6213, f1: 0.7585
@20230726_0308 @20230726_0308 [EP 178/500] lr: 6e-05, took: 117.89s (avg: 117.89s), ETA: 0d:10h:27m:54s [TRAIN] loss: 0.1859, iou: 0.6982, f1: 0.8141 [EVAL] loss: 0.2415, iou: 0.6213, f1: 0.7585
@20230726_0310 @20230726_0310 [EP 179/500] lr: 6e-05, took: 118.11s (avg: 118.11s), ETA: 0d:10h:31m:18s [TRAIN] loss: 0.1867, iou: 0.6971, f1: 0.8133 [EVAL] loss: 0.2424, iou: 0.6199, f1: 0.7576
@20230726_0312 @20230726_0312 [EP 180/500] lr: 6e-05, took: 117.99s (avg: 117.99s), ETA: 0d:10h:24m:0s [TRAIN] loss: 0.1873, iou: 0.6963, f1: 0.8127 [EVAL] loss: 0.2436, iou: 0.6183, f1: 0.7564
@20230726_0314 @20230726_0314 [EP 181/500] lr: 6e-05, took: 118.18s (avg: 118.18s), ETA: 0d:10h:27m:22s [TRAIN] loss: 0.1872, iou: 0.6965, f1: 0.8128 [EVAL] loss: 0.2413, iou: 0.6216, f1: 0.7587
@20230726_0316 @20230726_0316 [EP 182/500] lr: 6e-05, took: 118.01s (avg: 118.01s), ETA: 0d:10h:25m:24s [TRAIN] loss: 0.1866, iou: 0.6974, f1: 0.8134 [EVAL] loss: 0.2405, iou: 0.6228, f1: 0.7595
@20230726_0318 @20230726_0318 [EP 183/500] lr: 6e-05, took: 118.27s (avg: 118.27s), ETA: 0d:10h:23m:26s [TRAIN] loss: 0.1867, iou: 0.6970, f1: 0.8133 [EVAL] loss: 0.2406, iou: 0.6227, f1: 0.7594
@20230726_0320 @20230726_0320 [EP 184/500] lr: 6e-05, took: 117.75s (avg: 117.75s), ETA: 0d:10h:16m:12s [TRAIN] loss: 0.1866, iou: 0.6972, f1: 0.8134 [EVAL] loss: 0.2406, iou: 0.6228, f1: 0.7594
@20230726_0322 @20230726_0322 [EP 185/500] lr: 6e-05, took: 118.05s (avg: 118.05s), ETA: 0d:10h:19m:30s [TRAIN] loss: 0.1855, iou: 0.6988, f1: 0.8145 [EVAL] loss: 0.2416, iou: 0.6217, f1: 0.7584
@20230726_0324 @20230726_0324 [EP 186/500] lr: 6e-05, took: 118.06s (avg: 118.06s), ETA: 0d:10h:17m:32s [TRAIN] loss: 0.1849, iou: 0.6998, f1: 0.8151 [EVAL] loss: 0.2433, iou: 0.6195, f1: 0.7567
@20230726_0326 @20230726_0326 [EP 187/500] lr: 6e-05, took: 118.37s (avg: 118.37s), ETA: 0d:10h:15m:34s [TRAIN] loss: 0.1841, iou: 0.7009, f1: 0.8159 [EVAL] loss: 0.2433, iou: 0.6193, f1: 0.7567
@20230726_0328 @20230726_0328 [EP 188/500] lr: 6e-05, took: 118.03s (avg: 118.03s), ETA: 0d:10h:13m:36s [TRAIN] loss: 0.1844, iou: 0.7006, f1: 0.8156 [EVAL] loss: 0.2432, iou: 0.6196, f1: 0.7568
@20230726_0330 @20230726_0330 [EP 189/500] lr: 6e-05, took: 118.00s (avg: 118.00s), ETA: 0d:10h:11m:38s [TRAIN] loss: 0.1844, iou: 0.7005, f1: 0.8156 [EVAL] loss: 0.2440, iou: 0.6187, f1: 0.7560
@20230726_0332 @20230726_0332 [EP 190/500] lr: 6e-05, took: 118.11s (avg: 118.11s), ETA: 0d:10h:9m:40s [TRAIN] loss: 0.1836, iou: 0.7016, f1: 0.8164 [EVAL] loss: 0.2421, iou: 0.6211, f1: 0.7579
@20230726_0334 @20230726_0334 [EP 191/500] lr: 6e-05, took: 117.82s (avg: 117.82s), ETA: 0d:10h:2m:33s [TRAIN] loss: 0.1839, iou: 0.7013, f1: 0.8161 [EVAL] loss: 0.2422, iou: 0.6210, f1: 0.7578
@20230726_0336 @20230726_0336 [EP 192/500] lr: 6e-05, took: 117.81s (avg: 117.81s), ETA: 0d:10h:0m:36s [TRAIN] loss: 0.1837, iou: 0.7016, f1: 0.8163 [EVAL] loss: 0.2396, iou: 0.6243, f1: 0.7604
@20230726_0338 @20230726_0338 [EP 193/500] lr: 6e-05, took: 117.99s (avg: 117.99s), ETA: 0d:9h:58m:39s [TRAIN] loss: 0.1834, iou: 0.7020, f1: 0.8166 [EVAL] loss: 0.2397, iou: 0.6241, f1: 0.7603
@20230726_0340 @20230726_0340 [EP 194/500] lr: 6e-05, took: 118.22s (avg: 118.22s), ETA: 0d:10h:1m:48s [TRAIN] loss: 0.1839, iou: 0.7013, f1: 0.8161 [EVAL] loss: 0.2397, iou: 0.6241, f1: 0.7603
@20230726_0342 @20230726_0342 [EP 195/500] lr: 6e-05, took: 118.01s (avg: 118.01s), ETA: 0d:9h:59m:50s [TRAIN] loss: 0.1832, iou: 0.7023, f1: 0.8168 [EVAL] loss: 0.2409, iou: 0.6223, f1: 0.7591
