

** [elctron] Launch Training on 20230610_1725
{
  "HOST": "elctron",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "EffNet",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": true,
  "prevEPOCH": 216,
  "resumeWeight": "./model_weights/EffNet/20230607_2015_DLV3PP_EffNet_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 10,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 8,
  "lr_scheduling": "exp",
  "lr": 0.006253,
  "decay_steps": 2.3,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* EffNet Base \n  - weight saved on eval f1 \n  - resume from EP216\n  - lr changed the value at EP216: 0.006253\n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3.yaml"
}
@20230610_1742 [EP 217/500] took: 0h:16m:46s, ETA: 3d:7h:4m:58s [TRAIN] loss: 0.0569, accu-50: 94.42%, iou: 89.26%, f1: 94.31% 443.08ms [EVAL] [518/518 step] loss: 0.9806, accu-50: 0.99%, iou: 0.98%, f1: 1.94%, 78.34ms
@20230611_1623 [EP 301/500] took: 0h:16m:11s, ETA: 2d:5h:40m:29s [TRAIN] loss: 0.0548, accu-50: 94.59%, iou: 89.64%, f1: 94.52% 440.18ms [EVAL] [518/518 step] loss: 0.1844, accu-50: 86.91%, iou: 69.25%, f1: 81.56%, 76.29ms
@20230611_1639 [EP 302/500] took: 0h:16m:11s, ETA: 2d:5h:24m:18s [TRAIN] loss: 0.0549, accu-50: 94.49%, iou: 89.62%, f1: 94.51% 439.19ms [EVAL] [518/518 step] loss: 0.5395, accu-50: 81.95%, iou: 31.31%, f1: 46.05%, 76.40ms
@20230611_1656 [EP 303/500] took: 0h:16m:11s, ETA: 2d:5h:8m:7s [TRAIN] loss: 0.0548, accu-50: 94.54%, iou: 89.64%, f1: 94.52% 439.54ms [EVAL] [518/518 step] loss: 0.8684, accu-50: 20.26%, iou: 7.79%, f1: 13.16%, 76.42ms
@20230611_1712 [EP 304/500] took: 0h:16m:11s, ETA: 2d:4h:51m:56s [TRAIN] loss: 0.0548, accu-50: 94.52%, iou: 89.63%, f1: 94.52% 440.07ms [EVAL] [518/518 step] loss: 0.9762, accu-50: 2.24%, iou: 1.30%, f1: 2.38%, 76.07ms
@20230611_1728 [EP 305/500] took: 0h:16m:11s, ETA: 2d:4h:35m:45s [TRAIN] loss: 0.0547, accu-50: 94.55%, iou: 89.66%, f1: 94.53% 439.42ms [EVAL] [518/518 step] loss: 0.2469, accu-50: 89.64%, iou: 61.01%, f1: 75.31%, 76.36ms
@20230611_1744 [EP 306/500] took: 0h:16m:11s, ETA: 2d:4h:19m:34s [TRAIN] loss: 0.0546, accu-50: 94.52%, iou: 89.67%, f1: 94.54% 439.55ms [EVAL] [518/518 step] loss: 0.3849, accu-50: 87.00%, iou: 45.40%, f1: 61.51%, 76.40ms
@20230611_1800 [EP 307/500] took: 0h:16m:11s, ETA: 2d:4h:3m:23s [TRAIN] loss: 0.0547, accu-50: 94.57%, iou: 89.66%, f1: 94.53% 440.10ms [EVAL] [518/518 step] loss: 0.8229, accu-50: 79.10%, iou: 10.84%, f1: 17.71%, 76.21ms
@20230611_1817 [EP 308/500] took: 0h:16m:11s, ETA: 2d:3h:47m:12s [TRAIN] loss: 0.0545, accu-50: 94.56%, iou: 89.69%, f1: 94.55% 439.29ms [EVAL] [518/518 step] loss: 0.1831, accu-50: 87.62%, iou: 69.52%, f1: 81.69%, 76.20ms
@20230611_1833 [EP 309/500] took: 0h:16m:11s, ETA: 2d:3h:31m:1s [TRAIN] loss: 0.0546, accu-50: 94.59%, iou: 89.67%, f1: 94.54% 438.94ms [EVAL] [518/518 step] loss: 0.8232, accu-50: 23.20%, iou: 10.72%, f1: 17.68%, 76.14ms
@20230611_1849 [EP 310/500] took: 0h:16m:11s, ETA: 2d:3h:14m:50s [TRAIN] loss: 0.0546, accu-50: 94.56%, iou: 89.68%, f1: 94.54% 439.23ms [EVAL] [518/518 step] loss: 0.4514, accu-50: 76.74%, iou: 38.87%, f1: 54.86%, 76.42ms
@20230611_1905 [EP 311/500] took: 0h:16m:11s, ETA: 2d:2h:58m:39s [TRAIN] loss: 0.0547, accu-50: 94.55%, iou: 89.67%, f1: 94.53% 437.60ms [EVAL] [518/518 step] loss: 0.8452, accu-50: 54.07%, iou: 9.69%, f1: 15.48%, 76.57ms
@20230611_1921 [EP 312/500] took: 0h:16m:11s, ETA: 2d:2h:42m:28s [TRAIN] loss: 0.0545, accu-50: 94.57%, iou: 89.69%, f1: 94.55% 438.73ms [EVAL] [518/518 step] loss: 0.2412, accu-50: 85.65%, iou: 61.65%, f1: 75.88%, 76.56ms
@20230611_1938 [EP 313/500] took: 0h:16m:11s, ETA: 2d:2h:26m:17s [TRAIN] loss: 0.0544, accu-50: 94.56%, iou: 89.70%, f1: 94.56% 438.51ms [EVAL] [518/518 step] loss: 0.8805, accu-50: 21.92%, iou: 7.23%, f1: 11.95%, 76.42ms
@20230611_1954 [EP 314/500] took: 0h:16m:11s, ETA: 2d:2h:10m:6s [TRAIN] loss: 0.0546, accu-50: 94.61%, iou: 89.68%, f1: 94.54% 439.50ms [EVAL] [518/518 step] loss: 0.7953, accu-50: 45.54%, iou: 12.95%, f1: 20.47%, 76.43ms
@20230611_2010 [EP 315/500] took: 0h:16m:11s, ETA: 2d:1h:53m:55s [TRAIN] loss: 0.0545, accu-50: 94.59%, iou: 89.70%, f1: 94.55% 439.71ms [EVAL] [518/518 step] loss: 0.7665, accu-50: 32.72%, iou: 14.05%, f1: 23.35%, 76.49ms
@20230611_2026 [EP 316/500] took: 0h:16m:11s, ETA: 2d:1h:37m:44s [TRAIN] loss: 0.0544, accu-50: 94.58%, iou: 89.70%, f1: 94.56% 440.39ms [EVAL] [518/518 step] loss: 0.9220, accu-50: 25.21%, iou: 4.60%, f1: 7.80%, 76.49ms
@20230611_2043 [EP 317/500] took: 0h:16m:11s, ETA: 2d:1h:21m:33s [TRAIN] loss: 0.0543, accu-50: 94.59%, iou: 89.73%, f1: 94.57% 440.45ms [EVAL] [518/518 step] loss: 0.4770, accu-50: 87.28%, iou: 36.48%, f1: 52.30%, 76.51ms
@20230611_2059 [EP 318/500] took: 0h:16m:11s, ETA: 2d:1h:5m:22s [TRAIN] loss: 0.0545, accu-50: 94.56%, iou: 89.70%, f1: 94.55% 440.65ms [EVAL] [518/518 step] loss: 0.3921, accu-50: 54.76%, iou: 44.50%, f1: 60.79%, 76.64ms
@20230611_2115 [EP 319/500] took: 0h:16m:11s, ETA: 2d:0h:49m:11s [TRAIN] loss: 0.0544, accu-50: 94.60%, iou: 89.71%, f1: 94.56% 440.43ms [EVAL] [518/518 step] loss: 0.8943, accu-50: 7.07%, iou: 5.74%, f1: 10.57%, 76.67ms
@20230611_2131 [EP 320/500] took: 0h:16m:11s, ETA: 2d:0h:33m:0s [TRAIN] loss: 0.0544, accu-50: 94.52%, iou: 89.70%, f1: 94.56% 439.92ms [EVAL] [518/518 step] loss: 0.7705, accu-50: 18.45%, iou: 13.42%, f1: 22.95%, 76.74ms
@20230611_2148 [EP 321/500] took: 0h:16m:11s, ETA: 2d:0h:16m:49s [TRAIN] loss: 0.0544, accu-50: 94.57%, iou: 89.71%, f1: 94.56% 440.93ms [EVAL] [518/518 step] loss: 0.3409, accu-50: 82.98%, iou: 50.11%, f1: 65.91%, 76.49ms
@20230611_2204 [EP 322/500] took: 0h:16m:11s, ETA: 2d:0h:0m:38s [TRAIN] loss: 0.0544, accu-50: 94.55%, iou: 89.72%, f1: 94.56% 442.55ms [EVAL] [518/518 step] loss: 0.8694, accu-50: 9.44%, iou: 7.22%, f1: 13.06%, 76.71ms
